Player,IP,BF,ERA,FIP,WHIP,K%,BB%,GB%,FB%,SO/BB,WAR,HR9,Whiff%,Swing%,PutAway%,League
鄭凱文,"53, 2/3",243,7.043,4.575,1.602,11.5,2.9,41.5,36.6,3.9655172413793105,,,16.8,48.6,25.9,CPBL
陳琥,"45, 2/3",202,4.336,4.786,1.336,12.4,11.4,40.5,35.8,1.087719298245614,,,17.5,45.6,28.4,CPBL
羅戈,"156, 1/3",622,1.842,2.284,1.043,22.8,5.6,45.4,37.0,4.071428571428572,,,25.9,49.4,42.5,CPBL
盧孟揚,"38, 2/3",168,4.655,6.251,1.448,10.7,11.3,36.7,37.5,0.9469026548672566,,,21.5,45.2,24.7,CPBL
勝騎士,"23, 1/3",89,1.543,1.579,0.814,29.2,0.0,38.7,33.9,inf,,,26.6,55.6,49.1,CPBL
謝榮豪,25,121,6.12,5.442,1.88,9.1,14.0,31.5,48.9,0.65,,,19.4,44.0,17.7,CPBL
楊志龍,"5, 2/3",26,4.765,4.887,1.765,23.1,11.5,41.2,47.1,2.008695652173913,,,15.0,36.7,46.2,CPBL
魏碩成,"58, 2/3",262,3.375,3.702,1.415,16.8,9.9,59.7,26.3,1.696969696969697,,,17.2,41.4,32.8,CPBL
陳柏均,"2, 2/3",20,10.125,9.122,3.75,5.0,25.0,69.2,23.1,0.2,,,13.8,36.3,14.3,CPBL
彭識穎,"2, 1/3",14,19.286,13.408,3.0,7.1,0.0,46.2,38.5,inf,,,9.1,52.4,25.0,CPBL
鄭浩均,"54, 1/3",207,1.491,3.122,0.902,21.3,9.7,44.9,38.4,2.195876288659794,,,20.3,45.0,42.3,CPBL
李博登,"83, 1/3",335,1.944,2.798,1.188,16.4,5.4,49.0,31.8,3.0370370370370368,,,16.1,46.7,34.2,CPBL
吳俊偉,"20, 1/3",82,2.656,3.565,1.18,19.5,6.1,57.4,31.1,3.19672131147541,,,22.5,49.2,42.1,CPBL
柯威士,"7, 2/3",46,15.261,3.644,3.261,15.2,13.0,48.5,24.2,1.169230769230769,,,26.0,49.0,26.9,CPBL
林暉盛,22,91,2.864,3.713,1.136,13.2,6.6,35.2,46.5,2.0,,,19.2,51.0,27.9,CPBL
韋禮加,"19, 1/3",79,3.724,2.346,1.241,11.4,1.3,47.8,43.5,8.76923076923077,,,10.7,45.2,25.7,CPBL
游竣宥,"2, 2/3",9,0.0,1.997,0.375,33.3,11.1,80.0,20.0,3.0,,,23.1,32.5,60.0,CPBL
馮皓,"0, 1/3",5,81.0,45.122,9.0,20.0,20.0,33.3,33.3,1.0,,,33.3,37.5,100.0,CPBL
余謙,2,8,4.5,3.622,1.0,12.5,12.5,50.0,33.3,1.0,,,15.0,55.6,16.7,CPBL
艾速特,"141, 1/3",564,2.229,2.98,1.09,22.0,5.3,45.0,35.3,4.150943396226415,,,21.3,47.2,40.9,CPBL
張誠恩,40,170,4.05,4.197,1.4,14.7,10.0,40.9,37.8,1.47,,,17.8,41.7,30.9,CPBL
黃群,25,111,5.04,3.802,1.64,21.6,11.7,55.4,27.0,1.8461538461538465,,,22.6,45.0,46.2,CPBL
伍祐城,40,188,4.725,3.322,1.525,22.3,8.0,55.6,25.0,2.7875,,,22.8,44.4,40.0,CPBL
陳柏清,"62, 2/3",272,3.016,4.095,1.261,13.2,9.2,45.0,40.2,1.434782608695652,,,16.9,47.1,29.3,CPBL
黃紹睿,"25, 2/3",116,4.558,3.784,1.636,16.4,11.2,45.8,39.8,1.4642857142857142,,,20.0,45.8,36.5,CPBL
王躍霖,"16, 1/3",66,2.755,3.428,1.041,15.2,6.1,32.7,46.2,2.4918032786885247,,,15.3,47.8,31.3,CPBL
石萬金,"75, 2/3",354,5.115,4.695,1.652,15.5,7.9,45.5,33.1,1.9620253164556962,,,18.2,47.6,30.4,CPBL
王柏傑,"0, 2/3",5,0.0,21.122,6.0,0.0,80.0,100.0,0.0,0.0,,,50.0,15.4,0.0,CPBL
施子謙,39,152,2.538,3.019,0.949,19.1,1.3,46.6,34.7,14.692307692307693,,,18.4,50.4,38.2,CPBL
後勁,"152, 1/3",608,1.891,2.964,1.142,17.9,6.3,58.1,24.1,2.841269841269841,,,18.5,45.8,34.6,CPBL
林詩翔,"60, 1/3",243,1.79,3.139,1.077,22.2,7.8,46.5,31.8,2.8461538461538463,,,27.3,48.8,40.3,CPBL
江承諺,110,476,4.255,3.795,1.327,13.4,6.3,39.7,42.4,2.126984126984127,,,13.6,46.7,30.5,CPBL
陳宇宏,"20, 1/3",91,6.197,5.433,1.574,11.0,4.4,40.8,36.8,2.5,,,12.6,49.9,24.4,CPBL
謝葆錡,"10, 2/3",44,4.219,4.059,1.219,13.6,4.5,37.1,51.4,3.022222222222222,,,25.6,51.2,35.3,CPBL
陳正毅,"2, 2/3",13,0.0,2.747,1.875,15.4,7.7,30.0,20.0,2.0,,,17.9,49.1,25.0,CPBL
吉田一将,67,294,5.104,2.301,1.418,18.4,2.4,40.7,36.4,7.666666666666666,,,21.6,49.1,35.3,CPBL
許育銘,43,174,2.721,3.541,1.163,19.0,7.5,35.7,42.9,2.533333333333333,,,17.8,44.9,39.3,CPBL
黃子豪,"32, 1/3",159,7.794,3.895,1.918,20.1,10.7,42.5,35.8,1.8785046728971966,,,17.3,48.3,41.6,CPBL
許峻暘,1,9,27.0,10.122,6.0,11.1,33.3,80.0,20.0,0.33333333333333337,,,18.2,25.6,20.0,CPBL
曾奕翔,"5, 2/3",27,7.941,5.24,1.941,22.2,25.9,23.1,61.5,0.8571428571428572,,,19.1,37.3,42.9,CPBL
黃勃睿,5,19,3.6,5.922,1.0,5.3,5.3,41.2,35.3,1.0,,,10.0,46.2,16.7,CPBL
楊達翔,8,38,3.375,6.997,1.5,15.8,21.1,63.6,31.8,0.7488151658767772,,,10.0,33.8,40.0,CPBL
李欣穎,4,18,6.75,1.622,1.5,33.3,11.1,50.0,50.0,3.0,,,30.0,39.5,66.7,CPBL
櫻井周斗,22,93,2.455,5.167,1.227,14.0,14.0,36.9,44.6,1.0,,,15.8,35.1,31.7,CPBL
那瑪夏,"34, 1/3",149,4.194,3.268,1.34,18.8,9.4,41.0,41.9,2.0,,,21.6,47.3,35.9,CPBL
韋宏亮,"12, 1/3",55,2.189,5.149,1.622,7.3,18.2,55.0,37.5,0.4010989010989011,,,13.4,38.5,14.3,CPBL
鋼龍,146,602,2.774,2.999,1.178,19.9,6.6,48.6,32.0,3.015151515151515,,,23.0,47.6,38.5,CPBL
林子昱,50,203,2.34,3.982,1.1,15.8,4.9,36.9,42.0,3.2244897959183674,,,17.6,48.8,34.0,CPBL
陳禹勳,"28, 2/3",129,4.081,4.343,1.5,14.0,9.3,45.8,37.5,1.5053763440860215,,,19.6,44.6,32.1,CPBL
陳冠偉,"45, 2/3",183,3.547,3.823,1.073,16.4,12.0,35.9,39.7,1.3666666666666665,,,16.3,44.8,35.7,CPBL
龍聖,"109, 2/3",454,3.119,3.76,1.176,17.8,9.0,45.1,37.7,1.9777777777777779,,,16.2,42.8,36.3,CPBL
郭郁政,"36, 2/3",169,4.664,4.267,1.582,10.7,7.1,40.6,39.9,1.5070422535211268,,,11.6,52.6,23.1,CPBL
林凱威,33,147,3.818,3.789,1.485,17.7,9.5,46.7,27.6,1.8631578947368421,,,17.4,47.6,31.7,CPBL
艾璞樂,115,468,3.209,3.948,1.122,15.4,4.9,45.1,34.6,3.142857142857143,,,17.3,48.6,33.0,CPBL
伍鐸,"106, 2/3",445,2.362,3.497,1.266,7.6,3.8,53.4,24.0,2.0,,,11.8,48.5,19.2,CPBL
李超,"31, 1/3",134,2.872,4.016,1.34,13.4,9.7,54.5,30.3,1.3814432989690724,,,16.2,44.7,26.9,CPBL
王定穎,"12, 1/3",56,4.378,4.581,1.378,19.6,10.7,66.7,25.0,1.8317757009345796,,,25.6,39.8,32.4,CPBL
趙璟榮,"17, 2/3",76,0.509,4.141,1.189,21.1,10.5,48.1,36.5,2.0095238095238095,,,21.8,45.2,43.2,CPBL
王維中,"30, 1/3",139,6.527,4.342,1.747,10.1,9.4,35.7,39.3,1.0744680851063828,,,12.6,46.4,18.7,CPBL
呂偉晟,"18, 2/3",86,5.786,5.211,1.554,9.3,14.0,57.8,21.9,0.6642857142857144,,,12.9,45.1,20.0,CPBL
林鋅杰,"10, 2/3",51,5.063,3.309,1.781,15.7,11.8,35.1,32.4,1.330508474576271,,,14.1,39.4,40.0,CPBL
鑀龍,"27, 2/3",120,3.253,2.869,1.446,23.3,9.2,50.0,38.8,2.5326086956521743,,,24.9,44.1,47.5,CPBL
曹祐齊,"56, 2/3",236,3.653,4.004,1.306,11.0,7.2,40.7,37.0,1.5277777777777777,,,14.4,40.2,26.8,CPBL
徐若熙,114,429,2.053,2.175,0.807,28.0,3.3,41.7,43.8,8.484848484848484,,,27.0,56.3,43.8,CPBL
吳俊杰,21,89,3.0,6.312,1.19,15.7,9.0,38.5,43.1,1.7444444444444445,,,17.6,46.4,41.2,CPBL
張景淯,"4, 2/3",26,3.857,6.122,1.5,19.2,19.2,38.5,53.8,1.0,,,17.5,37.7,41.7,CPBL
李承風,"0, 1/3",7,135.0,21.122,15.0,0.0,28.6,40.0,20.0,0.0,,,10.0,37.0,0.0,CPBL
羅華韋,"0, 2/3",5,13.5,3.122,4.5,0.0,0.0,80.0,20.0,,,,0.0,47.1,0.0,CPBL
張鈞守,"7, 1/3",32,1.227,3.258,1.5,21.9,15.6,35.0,35.0,1.4038461538461537,,,23.3,46.5,31.8,CPBL
鎛銳,"17, 2/3",76,3.566,4.707,1.415,14.5,10.5,38.6,24.6,1.380952380952381,,,17.2,43.8,31.4,CPBL
黃暐傑,8,43,7.875,4.122,2.0,18.6,14.0,25.9,48.1,1.3285714285714287,,,19.0,44.1,32.0,CPBL
陳志杰,2,8,0.0,2.122,1.0,12.5,0.0,14.3,42.9,inf,,,0.0,32.1,50.0,CPBL
李致霖,2,7,0.0,1.622,0.5,42.9,14.3,33.3,66.7,2.9999999999999996,,,40.0,35.7,75.0,CPBL
力亞士,144,623,3.75,3.191,1.264,18.3,5.3,44.4,38.1,3.4528301886792456,,,21.3,48.5,36.3,CPBL
游霆崴,"36, 1/3",156,3.963,3.893,1.514,10.3,4.5,48.9,32.3,2.288888888888889,,,12.3,43.6,28.6,CPBL
廖任磊,"26, 1/3",126,7.177,4.945,1.785,10.3,10.3,38.1,39.2,1.0,,,14.6,44.7,25.5,CPBL
藍愷青,"9, 1/3",41,4.821,3.658,1.607,12.2,12.2,38.7,41.9,1.0,,,16.7,38.6,26.3,CPBL
賴智垣,6,33,6.0,9.622,2.667,12.1,21.2,54.5,31.8,0.5707547169811321,,,14.3,38.3,26.7,CPBL
李吳永勤,"42, 1/3",184,2.764,2.933,1.134,16.8,6.0,44.4,33.3,2.8000000000000003,,,19.7,44.5,30.7,CPBL
張奕,59,265,5.339,2.529,1.508,23.0,5.3,48.9,31.9,4.339622641509434,,,21.0,51.7,42.7,CPBL
林旺熙,"8, 1/3",38,5.4,4.682,1.68,10.5,15.8,37.0,33.3,0.6645569620253164,,,17.3,40.0,28.6,CPBL
富藍戈,"42, 2/3",173,1.898,2.911,1.078,19.7,5.8,40.6,44.5,3.396551724137931,,,20.2,55.2,47.9,CPBL
賴鴻誠,"21, 2/3",93,2.492,4.83,1.523,9.7,15.1,40.0,41.4,0.6423841059602649,,,11.1,42.0,20.9,CPBL
魔力藍,139,583,2.978,3.144,1.252,19.0,7.5,43.0,38.1,2.533333333333333,,,18.9,47.8,38.7,CPBL
曾峻岳,36,149,3.0,3.094,1.194,18.8,8.7,44.9,29.9,2.1609195402298855,,,18.3,48.0,36.8,CPBL
黃保羅,"84, 1/3",377,4.162,4.367,1.458,13.3,9.0,38.8,42.9,1.4777777777777779,,,13.8,46.0,28.1,CPBL
李東洺,"75, 2/3",344,4.52,3.479,1.533,17.7,10.5,44.2,41.3,1.6857142857142857,,,17.4,47.0,34.1,CPBL
張瑞麟,20,95,7.65,4.922,1.6,11.6,11.6,44.9,29.0,1.0,,,18.1,43.6,22.0,CPBL
銳歐,9,40,6.0,5.122,1.444,17.5,2.5,54.8,29.0,7.0,,,21.3,48.7,35.0,CPBL
林栚呈,41,165,1.756,3.122,0.951,13.9,4.8,44.3,36.6,2.8958333333333335,,,17.6,49.3,32.4,CPBL
范柏絜,"6, 2/3",31,8.1,7.772,1.65,22.6,3.2,31.8,36.4,7.0625,,,25.5,42.7,58.3,CPBL
陳鐿中,"6, 1/3",40,14.211,5.017,3.0,0.0,7.5,41.7,30.6,0.0,,,8.2,44.5,0.0,CPBL
王尉永,"10, 2/3",49,2.531,2.934,1.688,14.3,8.2,51.4,40.5,1.7439024390243905,,,10.8,46.1,29.2,CPBL
吳世豪,"25, 2/3",103,1.052,3.512,1.013,17.5,9.7,39.2,45.9,1.8041237113402062,,,18.1,45.5,40.0,CPBL
歐書誠,"2, 2/3",13,3.375,3.872,1.5,15.4,7.7,55.6,11.1,2.0,,,17.4,41.8,33.3,CPBL
岳少華,"5, 2/3",21,0.0,2.769,0.529,19.0,9.5,46.7,40.0,2.0,,,23.1,47.6,40.0,CPBL
陳仕朋,69,313,5.478,4.789,1.623,11.8,7.3,49.2,32.5,1.6164383561643838,,,15.8,45.8,26.6,CPBL
布坎南,"64, 2/3",274,1.948,3.385,1.268,14.2,6.2,59.0,28.3,2.290322580645161,,,17.6,48.1,28.9,CPBL
江國豪,"21, 1/3",106,7.594,4.622,1.969,11.3,9.4,51.2,33.3,1.202127659574468,,,16.8,48.8,25.0,CPBL
王偉軒,4,27,15.75,5.872,3.0,7.4,7.4,30.0,45.0,1.0,,,10.3,39.0,20.0,CPBL
鈴木駿輔,"28, 2/3",126,2.512,3.157,1.326,15.1,9.5,51.1,37.2,1.5894736842105264,,,17.9,40.7,32.2,CPBL
威能帝,170,663,2.012,2.204,0.912,25.3,4.8,45.1,36.7,5.270833333333334,,,26.9,53.7,43.3,CPBL
陳冠宇,"53, 1/3",202,1.688,2.803,0.975,23.3,8.4,50.7,35.5,2.7738095238095237,,,23.0,45.4,46.1,CPBL
黃子鵬,"117, 1/3",521,4.065,3.642,1.449,13.1,4.8,49.4,28.0,2.7291666666666665,,,14.5,49.6,27.4,CPBL
莊昕諺,41,178,5.268,4.707,1.366,7.9,7.9,35.6,36.3,1.0,,,16.4,48.1,19.7,CPBL
王志煊,23,103,3.522,4.513,1.391,10.7,13.6,41.1,38.4,0.7867647058823529,,,10.5,41.0,24.4,CPBL
蘇俊璋,37,160,4.378,4.392,1.459,10.0,5.0,44.4,37.0,2.0,,,15.1,43.8,22.5,CPBL
霸鉧德,"41, 2/3",188,4.752,3.602,1.536,17.6,9.6,46.7,38.5,1.8333333333333335,,,18.1,42.3,31.4,CPBL
呂詠臻,"32, 2/3",141,3.306,4.346,1.194,22.0,12.1,43.8,39.3,1.8181818181818183,,,20.5,43.0,43.1,CPBL
陳柏豪,"41, 2/3",183,3.456,4.754,1.392,14.8,9.8,45.3,38.0,1.510204081632653,,,20.2,44.2,31.4,CPBL
余德龍,2,7,0.0,4.622,1.0,0.0,14.3,50.0,50.0,0.0,,,0.0,50.0,0.0,CPBL
波賽樂,"83, 1/3",374,3.888,4.058,1.488,16.6,8.8,44.0,34.2,1.8863636363636365,,,19.6,47.5,30.7,CPBL
朱承洋,"50, 1/3",193,1.252,1.592,0.954,28.5,5.7,45.7,36.2,5.0,,,30.2,49.8,53.4,CPBL
魔神樂,158,636,2.506,3.059,1.082,15.4,4.9,36.9,41.3,3.142857142857143,,,20.4,50.5,33.4,CPBL
舒治浩,"9, 2/3",48,5.586,5.812,1.966,12.5,8.3,39.5,44.7,1.506024096385542,,,15.1,49.1,31.6,CPBL
邱駿威,34,153,5.294,5.093,1.471,16.3,7.2,48.7,33.0,2.263888888888889,,,20.7,46.9,32.9,CPBL
陳克羿,44,195,3.682,3.417,1.409,18.5,9.7,53.0,22.4,1.907216494845361,,,20.7,42.7,40.4,CPBL
賴胤豪,"41, 1/3",172,2.613,3.799,1.161,15.7,5.2,45.9,39.3,3.019230769230769,,,16.5,47.7,33.8,CPBL
劉家翔,9,44,10.0,6.233,1.667,11.4,4.5,31.4,34.3,2.533333333333333,,,12.7,43.6,25.0,CPBL
曾仁和,18,89,10.0,3.789,2.111,9.0,5.6,40.8,32.9,1.6071428571428572,,,14.6,47.4,18.6,CPBL
黃偉晟,"1, 1/3",13,27.0,15.122,6.0,0.0,7.7,41.7,41.7,0.0,,,0.0,48.6,0.0,CPBL
劉昱言,"5, 1/3",21,1.688,6.684,1.125,0.0,9.5,52.6,42.1,0.0,,,12.5,39.5,0.0,CPBL
林子崴,32,143,3.375,3.216,1.5,13.3,2.8,52.9,22.7,4.750000000000001,,,15.1,46.8,32.8,CPBL
凱樂,"15, 1/3",66,3.522,3.187,1.435,15.2,10.6,28.6,38.8,1.4339622641509433,,,14.3,41.3,32.3,CPBL
王宇翔,1,3,0.0,3.122,1.0,0.0,0.0,100.0,0.0,,,,0.0,50.0,,CPBL
曾家輝,4,14,0.0,1.872,0.25,28.6,0.0,33.3,55.6,inf,,,20.7,51.8,50.0,CPBL
盧冠宇,1,3,0.0,3.122,0.0,0.0,0.0,66.7,33.3,,,,0.0,62.5,0.0,CPBL
林祖傑,"0, 1/3",1,0.0,-2.878,0.0,100.0,0.0,0.0,0.0,inf,,,,0.0,100.0,CPBL
布雷克,122,518,4.131,3.155,1.311,17.2,4.6,40.2,37.5,3.739130434782609,,,17.5,48.8,33.6,CPBL
林子崴,"11, 1/3",52,3.971,4.71,1.588,5.8,11.5,58.5,19.5,0.5043478260869565,,,13.2,44.0,11.5,CPBL
鄭鈞仁,"12, 2/3",62,7.105,5.49,2.132,8.1,14.5,43.8,29.2,0.5586206896551724,,,15.5,41.3,22.7,CPBL
邱浩鈞,"8, 1/3",36,2.16,4.082,1.68,13.9,13.9,48.0,28.0,1.0,,,17.5,46.0,31.3,CPBL
劉軒荅,"15, 1/3",66,5.283,3.318,1.239,9.1,7.6,38.2,41.8,1.1973684210526316,,,12.9,46.3,26.1,CPBL
梅賽斯,84,335,2.571,2.467,1.06,17.3,4.2,54.8,27.6,4.119047619047619,,,17.3,47.9,32.2,CPBL
髙塩將樹,"65, 2/3",258,1.645,2.513,0.959,22.5,7.8,44.1,38.5,2.8846153846153846,,,24.1,45.8,40.3,CPBL
黃竣彥,"15, 2/3",71,4.021,3.888,1.723,11.3,7.0,44.8,24.1,1.6142857142857143,,,9.2,42.2,34.8,CPBL
陳韻文,"47, 2/3",210,2.455,3.605,1.385,18.1,8.6,39.5,34.9,2.104651162790698,,,18.9,51.9,31.4,CPBL
蒙德茲,"120, 2/3",537,3.506,3.561,1.392,18.1,9.3,48.8,32.0,1.946236559139785,,,21.3,44.8,36.1,CPBL
王鏡銘,34,144,2.912,2.74,1.324,19.4,6.9,35.8,32.1,2.8115942028985503,,,19.2,44.9,41.2,CPBL
胡智爲,"90, 1/3",387,4.085,4.041,1.395,14.5,6.2,35.5,38.8,2.338709677419355,,,16.2,48.7,30.9,CPBL
姚杰宏,"13, 2/3",64,6.585,4.805,1.756,10.9,7.8,42.9,36.7,1.3974358974358976,,,17.1,44.1,24.1,CPBL
林詔恩,55,228,2.618,3.777,1.345,12.3,9.2,50.6,31.5,1.3369565217391306,,,17.0,43.8,27.5,CPBL
飛力獅,"127, 1/3",504,1.908,2.934,1.06,18.8,6.7,48.0,32.6,2.8059701492537314,,,21.8,46.5,38.0,CPBL
吳承諭,"31, 2/3",130,1.705,3.722,1.168,13.1,6.2,41.3,40.4,2.1129032258064515,,,17.2,48.6,30.9,CPBL
劉予承,21,95,5.143,6.17,1.619,12.6,12.6,40.8,39.4,1.0,,,16.9,41.5,29.3,CPBL
楊孟沅,"2, 1/3",11,3.857,4.836,2.143,9.1,18.2,12.5,75.0,0.5,,,0.0,44.8,100.0,CPBL
郭俊麟,29,148,9.621,6.398,1.931,14.9,9.5,39.1,36.4,1.568421052631579,,,19.6,46.1,33.8,CPBL
李軍,23,101,3.913,4.557,1.435,15.8,8.9,50.0,34.7,1.7752808988764046,,,16.8,46.4,30.8,CPBL
鍾允華,25,117,4.68,3.762,1.6,24.8,12.8,33.3,44.4,1.9375,,,25.8,49.4,45.3,CPBL
辛俊昇,"26, 1/3",95,2.051,3.578,0.722,16.8,5.3,61.6,27.4,3.169811320754717,,,20.9,44.6,36.4,CPBL
江承峰,4,20,9.0,9.622,1.75,30.0,15.0,30.0,60.0,2.0,,,38.9,53.7,60.0,CPBL
周彥農,11,49,5.727,6.667,1.818,4.1,20.4,70.3,13.5,0.20098039215686275,,,8.1,38.3,9.5,CPBL
奧德銳,39,155,2.077,2.686,1.103,19.4,5.2,47.8,31.3,3.7307692307692304,,,18.3,45.4,38.5,CPBL
張宥謙,4,18,2.25,1.122,1.5,22.2,0.0,21.4,50.0,inf,,,16.7,52.9,40.0,CPBL
獅帝芬,"24, 1/3",94,2.219,2.506,0.945,21.3,2.1,55.7,18.6,10.142857142857142,,,16.7,51.8,46.5,CPBL
林易霆,"0, 2/3",3,0.0,3.122,0.0,0.0,0.0,100.0,0.0,,,,25.0,30.8,0.0,CPBL
