球員,球隊,背號,IP,BF,ERA,ERA+,tERA+,FIP,WHIP,LOB%,BABIP,AVG,OBP,SLG,OPS,OPS+,tOPS+,PutAway%,K%,BB%,Strike%,Swing%,1st Pitch Swing%,Whiff%,Contact%,GB%,LD%,FB%,POP%,LEFT%,MIDDLE%,RIGHT%,Year
林旺熙,Guardians,73,"22, 2/3",113,7.941,46.2,46.9,5.416,1.897,50.3,0.342,0.309,0.4,0.447,0.847,144.7,140.4,40,14.2,12.4,58,44.7,30.1,18.6,81.4,37.8,18.3,39,4.9,32.9,34.1,32.9,2024
張瑞麟,Guardians,70,"12, 2/3",59,4.263,86,87.3,5.964,1.974,81.3,0.324,0.289,0.441,0.511,0.952,174.8,170.1,30.8,13.6,20.3,54.1,35.9,18.6,21.7,78.3,44.7,13.2,36.8,5.3,30.3,32.9,36.8,2024
藍愷青,Guardians,21,"8, 2/3",47,7.269,50.4,51.2,5.084,2.308,59.1,0.405,0.385,0.478,0.513,0.991,186.6,181.5,14.3,4.3,10.6,56.2,40.7,27.7,13.6,86.4,55.3,15.8,21.1,7.9,26.3,32.9,40.8,2024
陳仕朋,Guardians,81,"122, 1/3",527,3.678,99.7,101.2,3.514,1.406,70,0.326,0.286,0.335,0.372,0.706,104.3,100.7,34.4,14.6,6.6,64.8,47.2,26,19.5,80.5,47,13.3,36.1,3.6,31.1,35.5,33.4,2024
李東洺,Guardians,66,"27, 2/3",129,4.229,86.7,88,3.953,1.663,71.8,0.362,0.288,0.365,0.405,0.77,122.5,118.6,46.8,22.5,10.9,61.6,47.6,26.4,25.1,74.9,34.9,27.9,33.7,3.5,32,30.2,37.8,2024
李建勳,Guardians,54,10,53,6.3,58.2,59.1,6.822,2.3,75.2,0.342,0.341,0.462,0.463,0.925,167.9,163,15,5.7,17,54.4,45.1,28.3,17.4,82.6,50,15,20,15,40,30,30,2024
王尉永,Guardians,34,35,150,5.4,67.9,68.9,3.293,1.314,59.8,0.299,0.22,0.309,0.318,0.627,81.5,78.2,50,28,11.3,62.1,44.2,25.3,22.8,77.2,39.6,16.5,39.6,4.4,25.8,36.8,37.4,2024
戈威士,Guardians,24,"23, 1/3",110,6.171,59.4,60.3,2.693,1.714,57.5,0.393,0.273,0.377,0.386,0.764,120.9,116.9,45.3,26.4,14.5,58.2,37.3,19.1,20.1,79.9,41.5,24.6,24.6,9.2,31.5,34.6,33.8,2024
陳冠勳,Guardians,59,5,31,10.8,34,34.5,7.122,3.2,52.9,0.45,0.409,0.567,0.455,1.021,197.5,191.6,18.2,6.5,22.6,52,32.5,16.1,12.5,87.5,61.9,14.3,19,4.8,28.6,42.9,28.6,2024
曾峻岳,Guardians,60,"47, 1/3",189,1.521,241.1,244.7,1.685,1.056,84.7,0.333,0.214,0.277,0.25,0.527,53,50.1,47.7,33.3,7.4,69.9,53.4,36.5,29.4,70.6,45,12.6,32.4,9.9,27.9,34.7,37.4,2024
富藍戈,Guardians,87,"57, 2/3",247,2.341,156.6,159,2.446,1.231,76.4,0.34,0.26,0.318,0.312,0.63,82.6,79.2,42.4,22.7,6.1,68.8,57,41.7,25.8,74.2,44.4,11.7,34.5,9.4,40.4,34.8,24.9,2024
羅戈,Guardians,64,154,626,2.162,169.6,172.2,2.544,1.13,81,0.311,0.236,0.29,0.306,0.596,72.4,69.3,44.7,24.9,6.2,65.6,46.3,26.7,21.5,78.5,52.3,13.6,31.5,2.6,30.5,33.1,36.4,2024
江國豪,Guardians,12,92,420,4.989,73.5,74.6,4.242,1.522,64.9,0.316,0.284,0.368,0.379,0.747,116.2,112.3,28,12.1,9.3,63.1,46.8,27.6,15.6,84.4,44,13.8,34.9,7.2,34,33,33,2024
歐書誠,Guardians,57,"33, 2/3",136,3.743,98,99.4,4.132,1.129,73.4,0.267,0.246,0.306,0.361,0.667,92.5,89.2,27.9,14,5.9,61.7,47.3,27.9,17.3,82.7,37.7,13.2,44.3,4.7,38.2,31.1,30.7,2024
江國謙,Guardians,49,3,15,9,40.7,41.4,7.789,2.667,75.8,0.5,0.5,0.533,0.857,1.39,298.3,292.4,25,6.7,6.7,62.2,51.1,40,13,87,30.8,15.4,53.8,0,38.5,19.2,42.3,2024
吳世豪,Guardians,50,38,166,4.026,91.1,92.4,4.201,1.447,73.4,0.313,0.267,0.341,0.425,0.766,120.7,117.1,36,18.7,9.6,64,52.3,36.7,26.9,73.1,41.2,10.9,43.7,4.2,37.8,32.4,29.8,2024
道鉑戈,Guardians,0,6,23,0,Infinity,Infinity,1.955,0.833,100,0.25,0.19,0.227,0.238,0.465,34.5,32.1,38.5,21.7,4.3,69,47.1,17.4,17.1,82.9,76.5,0,23.5,0,38.2,29.4,32.4,2024
賴智垣,Guardians,25,"29, 2/3",133,3.337,109.9,111.5,5.246,1.652,81.7,0.291,0.242,0.415,0.303,0.718,109.5,105.2,35.7,15,18.8,55.2,38.8,18,19.3,80.7,45.8,13.3,34.9,6,31.3,30.7,38,2024
岳少華,Guardians,48,"31, 1/3",134,3.734,98.2,99.7,3.76,1.436,65.8,0.323,0.278,0.359,0.365,0.724,109.6,105.8,30.6,14.2,9.7,61.9,46.9,22.4,16.3,83.7,43,13,39,5,28,36,36,2024
游霆崴,Guardians,80,"15, 1/3",71,2.935,124.9,126.8,5.796,1.761,65.8,0.345,0.354,0.386,0.523,0.909,161.4,157.3,17.2,7,5.6,63.2,37.9,12.7,9.4,90.6,43.5,8.1,38.7,9.7,25.8,35.5,38.7,2024
張奕,Guardians,19,"23, 1/3",103,4.243,86.4,87.7,2.736,1.457,64.4,0.362,0.283,0.337,0.402,0.739,113.2,109.6,40.4,22.3,7.8,64.6,53.6,40.8,19.6,80.4,43.1,15.3,37.5,4.2,25.7,35.4,38.9,2024
杰戈,Guardians,74,30,131,2.4,152.8,155.1,4.122,1.433,85.3,0.316,0.287,0.352,0.348,0.699,102.8,99.1,30.2,12.2,7.6,62.8,43.2,26,19.3,80.7,61.2,10.7,25.2,2.9,30.1,40.3,29.6,2024
鑀龍,Guardians,37,53,218,2.208,166.1,168.6,2.99,1.17,83.3,0.285,0.228,0.295,0.294,0.589,70.6,67.5,38.8,20.6,7.8,63.3,47.6,29.4,24.6,75.4,48.7,12.3,33.1,5.8,35.7,37.7,26.6,2024
江少慶,Guardians,71,17,62,1.588,230.9,234.4,1.769,0.765,69.2,0.233,0.169,0.21,0.203,0.413,19.7,17.5,47.1,25.8,4.8,67.9,48.4,21,20.2,79.8,48.8,11.6,37.2,2.3,39.5,26.7,33.7,2024
班恩,Guardians,23,"28, 1/3",131,3.812,96.2,97.6,3.404,1.729,70.6,0.378,0.292,0.398,0.358,0.757,119.5,115.3,35.1,19.8,13.7,61.2,46.3,29.8,18.7,81.3,40,17.6,37.6,4.7,32.4,35.3,32.4,2024
范柏絜,Guardians,15,2,10,13.5,27.2,27.6,8.622,2,38.5,0.375,0.4,0.4,0.8,1.2,242.2,237.7,33.3,10,0,70.6,55.9,70,10.5,89.5,44.4,0,44.4,11.1,50,27.8,22.2,2024
林栚呈,Guardians,94,1,5,0,Infinity,Infinity,4.122,2,100,0.333,0.25,0.4,0.25,0.65,90.3,86.2,25,20,20,66.7,45.8,20,27.3,72.7,100,0,0,0,0,83.3,16.7,2024
陳品宏,Guardians,0,"0, 2/3",5,0,Infinity,Infinity,9.122,3,100,0.5,0.333,0.6,0.333,0.933,173.8,167.7,50,20,20,50,31.8,0,14.3,85.7,50,0,50,0,50,0,50,2024
威能帝,Monkeys,49,"151, 2/3",652,3.501,104.7,105.3,2.858,1.299,62.8,0.322,0.272,0.31,0.371,0.681,96.4,92.5,34.1,17.3,5.4,69.6,53.6,33.1,21.7,78.3,41.6,15.9,35,7.6,31.9,34.6,33.5,2024
王志煊,Monkeys,64,"42, 1/3",171,1.488,246.4,247.6,3.713,1.181,85.3,0.262,0.238,0.312,0.306,0.618,79.1,75.5,25.9,12.3,8.8,64.1,46.4,32.2,15.8,84.2,54.5,9.1,33.3,3,36.4,31.8,31.8,2024
陳冠宇,Monkeys,17,"50, 1/3",211,1.967,186.4,187.3,2.566,1.113,75,0.276,0.213,0.287,0.255,0.542,57.4,54.3,39.6,20.9,7.6,64.1,46.3,29.4,19,81,54.4,12.2,29.3,4.1,32.7,34.7,32.7,2024
蘇俊璋,Monkeys,0,"42, 1/3",187,3.614,101.5,102,3.429,1.394,74.7,0.314,0.274,0.339,0.372,0.711,105.5,101.4,35.5,14.4,7.5,62.8,45.3,33.2,17.9,82.1,52.1,9.2,34.5,4.2,31,35.6,33.5,2024
陳柏豪,Monkeys,9,"52, 2/3",238,2.392,153.3,154.1,4.147,1.519,79.7,0.281,0.23,0.359,0.288,0.647,88.3,84.6,33.6,16,15.1,58.3,41,21,21.6,78.4,42.9,11.8,38.5,6.8,30.7,33.5,35.7,2024
霸威斯,Monkeys,20,"84, 2/3",389,4.146,88.4,88.9,3.677,1.618,67.2,0.358,0.294,0.375,0.395,0.77,122.8,118.3,34.5,18,9.8,61.7,45.6,23.7,21.9,78.1,44.2,11.3,35.8,8.8,31.8,34.9,33.4,2024
莊昕諺,Monkeys,77,"44, 1/3",185,3.451,106.3,106.8,3.708,1.286,73,0.303,0.274,0.321,0.417,0.737,112.5,108.3,28.3,14.1,5.9,65.8,49,31.4,17.7,82.3,43.2,12.3,38.4,6.2,37.3,31.2,31.5,2024
鈴木駿輔,Monkeys,14,"48, 2/3",223,5.548,66.1,66.4,4.273,1.747,66.8,0.367,0.319,0.4,0.44,0.84,142.8,137.9,29.9,14.3,10.8,59.8,41.2,22.4,19.5,80.5,47.6,15.9,32.3,4.3,29,34.1,36.9,2024
賴胤豪,Monkeys,63,"2, 2/3",17,16.875,21.7,21.8,5.372,3.75,50,0.6,0.462,0.588,0.769,1.357,290.6,282.9,27.3,17.6,23.5,54.2,40.3,35.3,17.2,82.8,50,10,40,0,40,20,40,2024
黃子鵬,Monkeys,69,100,437,3.51,104.5,105,3.542,1.28,67.7,0.305,0.273,0.327,0.358,0.685,98,94.1,27.3,12.8,5,65.4,47.7,27,13.6,86.4,47.6,14.1,33.1,5.2,36,33.7,30.3,2024
邱駿威,Monkeys,46,20,97,4.95,74.1,74.4,5.372,1.9,78.5,0.357,0.289,0.427,0.395,0.822,138.5,133.8,44.2,19.6,16.5,56.3,42.1,26.8,18.6,81.4,39,13.6,39,8.5,30.5,39.8,29.7,2024
葉家淇,Monkeys,26,1,9,18,20.4,20.5,18.122,5,66.7,0.25,0.333,0.667,0.333,1,194.1,188.2,0,0,44.4,41.7,25,22.2,11.1,88.9,25,0,75,0,25,50,25,2024
陳鴻文,Monkeys,13,"43, 1/3",186,4.154,88.3,88.7,3.237,1.385,66,0.321,0.279,0.335,0.376,0.711,105.4,101.3,28,15.1,7.5,64.7,48.3,25.8,18.9,81.1,38,13.4,43.7,4.9,26.8,37.7,35.6,2024
曾仁和,Monkeys,37,24,111,6.375,57.5,57.8,2.872,1.667,57.6,0.434,0.34,0.376,0.505,0.881,153.4,148.4,42.4,22.5,4.5,65,48.4,32.4,24.2,75.8,43,22.8,29.1,5.1,34.2,34.2,31.6,2024
曾家輝,Monkeys,44,11,52,6.545,56,56.3,4.122,1.636,44.4,0.275,0.25,0.346,0.295,0.642,86.3,82.6,22.7,9.6,13.5,60.4,43.8,25,11.9,88.1,50,5,37.5,7.5,37.5,36.3,26.3,2024
魔神樂,Monkeys,21,"149, 2/3",612,2.045,179.3,180.2,3.229,1.102,78.1,0.276,0.237,0.282,0.34,0.622,79.4,75.8,36.4,18.6,5.6,66.6,49.7,26,21.4,78.6,33.3,11.1,45,10.7,31.2,35,33.8,2024
黃偉晟,Monkeys,4,37,152,4.622,79.3,79.7,3.527,1.243,60.3,0.324,0.27,0.327,0.365,0.692,99.9,95.9,40.5,19.7,5.9,64.5,46.1,22.4,17.7,82.3,50.9,13.6,34.5,0.9,26.4,35.5,38.2,2024
林華偉,Monkeys,81,"1, 1/3",11,27,13.6,13.6,4.622,5.25,42.9,0.714,0.556,0.636,0.778,1.414,307.6,299.6,40,18.2,18.2,58.1,41.9,9.1,22.2,77.8,42.9,28.6,28.6,0,7.1,35.7,57.1,2024
陳克羿,Monkeys,19,"55, 1/3",254,4.392,83.5,83.9,4.568,1.663,68.7,0.311,0.278,0.384,0.354,0.738,114.2,109.9,30.6,11.8,13.4,59.7,42,24,18.2,81.8,48.9,15.6,29.6,5.9,28.2,32,39.8,2024
舒治浩,Monkeys,1,"7, 1/3",41,3.682,99.6,100.1,4.486,2.318,84.2,0.423,0.333,0.463,0.394,0.857,149.1,144.2,41.2,17.1,14.6,57.3,42,34.1,18.2,81.8,38.5,23.1,34.6,3.8,40.4,40.4,19.2,2024
楊彬,Monkeys,27,20,91,8.55,42.9,43.1,4.972,1.5,39.4,0.328,0.302,0.341,0.5,0.841,141.5,136.7,39.5,16.5,4.4,62,42.8,26.4,19.7,80.3,57.7,12.7,26.8,2.8,39.4,23.2,37.3,2024
肯特,Monkeys,25,"50, 2/3",206,3.375,108.7,109.2,3.319,1.224,64.5,0.304,0.275,0.32,0.36,0.68,96.4,92.5,23.6,10.2,4.9,64,46.1,22.8,13.2,86.8,59.9,12.8,23.3,4.1,41.9,30.8,27.3,2024
李家明,Monkeys,92,"7, 2/3",36,4.696,78.1,78.5,7.165,1.696,68.6,0.211,0.207,0.361,0.414,0.775,123.8,119.3,44.4,22.2,19.4,57.7,39.6,27.8,27.1,72.9,47.6,4.8,47.6,0,21.4,21.4,57.1,2024
洪敏暘,Monkeys,3,"1, 1/3",8,0,Infinity,Infinity,3.872,3,100,0.5,0.429,0.5,0.429,0.929,170,164.6,33.3,12.5,12.5,53.1,31.3,0,10,90,33.3,0,66.7,0,33.3,33.3,33.3,2024
威斯佛,Monkeys,32,"3, 2/3",14,2.455,149.4,150.1,1.486,1.091,75,0.333,0.167,0.286,0.25,0.536,55.7,52.6,85.7,42.9,14.3,59.3,42.6,35.7,34.8,65.2,0,0,83.3,16.7,25,41.7,33.3,2024
劉家翔,Monkeys,18,4,21,15.75,23.3,23.4,7.622,2.25,26.3,0.333,0.333,0.429,0.667,1.095,214.3,208.1,25,9.5,14.3,59,35.9,23.8,21.4,78.6,37.5,25,37.5,0,28.1,31.3,40.6,2024
盧冠宇,Monkeys,82,2,12,4.5,81.5,81.9,3.122,2,75,0.333,0.333,0.333,0.333,0.667,92.9,89.1,0,0,0,68.4,47.4,25,16.7,83.3,75,16.7,8.3,0,41.7,33.3,25,2024
温展樂,Monkeys,16,1,3,0,Infinity,Infinity,3.122,0,NaN,0,0,0,0,0,-100,-100,0,0,0,63.6,45.5,33.3,0,100,33.3,0,66.7,0,0,83.3,16.7,2024
林佳緯,Lions,20,"0, 2/3",2,0,Infinity,Infinity,0.122,0,NaN,0,0,0,0,0,-100,-100,100,50,0,71.4,14.3,0,0,100,100,0,0,0,0,0,100,2024
古林睿煬,Lions,19,125,501,1.656,221.4,205.6,1.778,1.072,84.3,0.33,0.228,0.276,0.289,0.565,63.5,66.6,55.8,29.9,5.6,67.2,51.3,30.7,27.2,72.8,43.4,16.6,34.1,5.9,28,36.7,35.3,2024
裴瑞茲,Lions,43,54,227,1.5,244.5,226.9,3.048,1.222,84.8,0.291,0.218,0.318,0.254,0.572,66.5,70,43.3,22.9,10.6,63,45.6,29.1,28.7,71.3,54.1,17.1,24.7,4.1,32.2,34.6,33.2,2024
李其峰,Lions,30,26,120,5.538,66.2,61.5,6.084,1.769,74.9,0.31,0.297,0.398,0.446,0.844,143.8,148.3,25,10.8,13.3,58.8,43.3,20,14.4,85.6,40,11.1,41.1,7.8,33.3,36.7,30,2024
尹柏淮,Lions,84,"13, 2/3",63,7.902,46.4,43.1,4.146,1.756,53.1,0.367,0.345,0.387,0.527,0.914,162.9,167.3,26.9,11.1,7.9,63.2,45.7,25.4,13.1,86.9,31.4,19.6,41.2,7.8,26.5,37.3,36.3,2024
勝騎士,Lions,21,"159, 1/3",642,2.485,147.6,137,2.576,1.048,76.8,0.287,0.22,0.267,0.313,0.579,67.4,70.4,43.7,26,5.8,70.1,52.4,31.9,23.8,76.2,37.8,12.2,42,7.6,31.8,33.1,35.1,2024
辛俊昇,Lions,69,33,138,3.818,96,89.2,3.122,1.303,72.1,0.312,0.246,0.312,0.381,0.693,99.8,103.3,43.1,22.5,8.7,62.1,44.6,25.4,19.5,80.5,41.1,16.8,33.7,8.4,25.3,34.7,40,2024
江承峰,Lions,95,"17, 2/3",86,5.094,72,66.8,5.273,2.038,70.2,0.397,0.352,0.44,0.549,0.99,185,190,33.3,14,12.8,60.9,48.1,34.9,22.7,77.3,43.5,21,35.5,0,25.8,36.3,37.9,2024
宋文華,Lions,97,5,23,3.6,101.9,94.6,4.922,1.8,66.7,0.3,0.316,0.391,0.368,0.76,120.1,124.5,0,0,13,59.5,45.2,13,10.5,89.5,30,10,50,10,42.5,32.5,25,2024
羅昂,Lions,44,104,425,2.769,132.4,122.9,3.209,1.096,75.9,0.291,0.251,0.28,0.358,0.639,83.7,86.9,34.9,19.1,3.3,69.1,51.3,26.4,16.9,83.1,41.1,11.7,41.7,5.5,35.3,35.4,29.3,2024
劉予承,Lions,26,"22, 1/3",102,4.433,82.7,76.8,4.465,1.612,69.3,0.314,0.273,0.36,0.364,0.724,109.6,113.7,34,15.7,11.8,59.9,44.2,27.5,13.8,86.2,47.3,10.8,37.8,4.1,25,39.2,35.8,2024
陳韻文,Lions,12,"33, 1/3",152,4.59,79.9,74.2,3.302,1.47,67,0.333,0.263,0.325,0.409,0.733,111.5,115.2,50,23.7,8.6,64.4,49.2,25,19.9,80.1,39.8,16.5,35,8.7,29.1,34.5,36.4,2024
郭俊麟,Lions,16,76,347,4.737,77.4,71.9,3.609,1.553,69.8,0.358,0.307,0.355,0.42,0.776,123.6,127.6,36.7,16.7,5.8,64.6,49.4,33.4,19.3,80.7,52.7,11,31.8,4.5,30.9,31.8,37.3,2024
姚杰宏,Lions,79,"15, 1/3",75,4.696,78.1,72.5,7.557,1.696,81.2,0.278,0.292,0.387,0.523,0.91,161.7,166.2,21.9,9.3,9.3,59.7,46.9,29.3,9.6,90.4,29.3,5.2,58.6,6.9,32.8,31,36.2,2024
林詔恩,Lions,74,"56, 2/3",269,3.812,96.2,89.3,4.904,1.729,71.9,0.325,0.303,0.389,0.407,0.796,130.3,134.7,21,9.3,10.4,59.9,42.9,24.9,15.2,84.8,47.9,14.7,32.7,4.7,32.7,37.9,29.4,2024
邱浩鈞,Lions,37,"44, 1/3",186,2.842,129,119.8,3.348,1.105,67.7,0.25,0.204,0.288,0.272,0.56,62.4,65.6,41.8,20.4,8.6,62.6,46.4,22.6,18.5,81.5,35.2,14.8,41.4,8.6,31.3,31.6,37.1,2024
楊孟沅,Lions,90,"1, 1/3",11,20.25,18.1,16.8,21.872,4.5,71.4,0.333,0.429,0.636,0.857,1.494,329.5,336.8,0,0,27.3,55.8,46.5,45.5,10,90,28.6,14.3,28.6,28.6,50,42.9,7.1,2024
布雷克,Lions,50,122,500,2.582,142,131.8,3.27,1.156,77.1,0.284,0.239,0.296,0.326,0.622,79.8,83.1,38,19,6.8,66.5,49.7,27.2,20.3,79.7,36.6,12.3,42.1,9,32.2,38.7,29.1,2024
潘威倫,Lions,18,29,136,6.828,53.7,49.9,5.536,1.724,51.1,0.345,0.352,0.382,0.57,0.953,173.2,177.6,15.7,5.9,3.7,66.8,48.5,27.2,9.3,90.7,41.3,14.9,42.1,1.7,33.1,33.9,33.1,2024
王鏡銘,Lions,41,20,86,3.15,116.4,108.1,4.772,1.25,73.3,0.243,0.244,0.302,0.372,0.674,94.3,97.7,18.4,8.1,7,62.9,48,38.4,9,91,43.1,18.1,36.1,2.8,33.3,37.5,29.2,2024
劉軒荅,Lions,23,"12, 2/3",64,7.816,46.9,43.6,5.411,1.895,63.9,0.378,0.346,0.444,0.442,0.887,156.6,161.6,25.9,10.9,9.4,62.2,47.3,40.6,15.2,84.8,36.2,10.6,44.7,6.4,28.7,33,38.3,2024
吳承諭,Lions,57,20,81,4.05,90.5,84,3.722,1.15,69.3,0.279,0.25,0.287,0.382,0.669,92.5,95.8,35.1,16,4.9,62.5,49.1,30.9,19.9,80.1,50,7.8,40.6,1.6,22.7,38.3,39.1,2024
傅于剛,Lions,42,4,17,4.5,81.5,75.6,2.622,1.5,66.7,0.375,0.353,0.353,0.412,0.765,120.8,124.8,12.5,5.9,0,72.3,60,29.4,15.4,84.6,43.8,18.8,31.3,6.3,31.3,37.5,31.3,2024
髙塩將樹,Lions,28,"21, 2/3",90,4.985,73.6,68.3,3.076,1.2,62,0.321,0.244,0.303,0.366,0.669,92.9,96.4,43.6,26.7,6.7,64.1,45.9,14.4,20.7,79.3,49.2,13.6,32.2,5.1,31.4,32.2,36.4,2024
胡智爲,Lions,58,27,115,5,73.3,68.1,3.863,1.481,58.1,0.322,0.288,0.357,0.346,0.703,103.8,107.8,21.7,11.3,8.7,63.8,49.6,28.7,12.9,87.1,42.9,15.4,36.3,5.5,36.3,34.6,29.1,2024
黃竣彥,Lions,40,"12, 2/3",57,4.263,86,79.8,2.964,1.579,65,0.35,0.28,0.357,0.36,0.717,107.6,111.6,37,17.5,10.5,62.2,48.8,35.1,20.8,79.2,46.3,17.1,34.1,2.4,37.8,34.1,28,2024
林子崴,Lions,17,"0, 2/3",2,0,Infinity,Infinity,3.122,0,NaN,0,0,0,0,0,-100,-100,NaN,0,0,100,50,0,0,100,100,0,0,0,25,50,25,2024
鄭澔,Lions,33,1,9,27,13.6,12.6,8.122,6,33.3,0.75,0.5,0.667,0.5,1.167,240.2,247.6,50,22.2,33.3,54.5,33.3,11.1,9.1,90.9,0,75,25,0,50,37.5,12.5,2024
李嘉祥,Lions,73,1,5,0,Infinity,Infinity,1.122,2,100,0.5,0.4,0.4,0.4,0.8,131.7,136.2,50,20,0,64.7,47.1,60,0,100,50,25,25,0,62.5,12.5,25,2024
鄭鈞仁,Lions,60,1,4,0,Infinity,Infinity,3.122,1,100,0.25,0.25,0.25,0.25,0.5,44.8,47.6,0,0,0,70.6,64.7,50,0,100,25,25,50,0,50,37.5,12.5,2024
